Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Midnight Martini 7557,Signature,"Gin, Cardamom, Ginger Ale, Lime Juice","Combine Gin, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Windmills (Kolkata)
Golden Sling 7558,South Inspired,"Gin, Kokum, Lime Juice, Lime Juice","Combine Gin, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Whisky Samba (Mumbai)
Rustic Sour 7559,The Icons,"Whisky, Saffron, Pineapple Juice, Lime Juice","Combine Whisky, Saffron, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Dali & Gala (Goa)
Golden Fizz 7560,South Inspired,"Brandy, Cumin, Coconut Water, Lime Juice","Combine Brandy, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Lair (Pune)
Sunrise Smash 7561,The Icons,"Gin, Jaggery, Tonic Water, Lime Juice","Combine Gin, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Elephant & Co (Chennai)
Ruby Fizz 7562,South Inspired,"Mezcal, Black Salt, Pineapple Juice, Lime Juice","Combine Mezcal, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Hideaway (Goa)
Coastal Sling 7563,Tropical,"Mezcal, Filter Kaapi, Soda, Lime Juice","Combine Mezcal, Filter Kaapi, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Masque (Hyderabad)
Monsoon Punch 7564,Twisted Classics,"Mezcal, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Cock & Bull (Goa)
Temple Tonic 7565,Tropical,"Gin, Curry Leaves, Soda, Lime Juice","Combine Gin, Curry Leaves, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,PCO (Gurgaon)
Masala Sour 7566,Savory & Bold,"Whisky, Filter Kaapi, Lime Juice, Lime Juice","Combine Whisky, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Cal-On (Chennai)
Coastal Fizz 7567,Tropical,"Brandy, Masala Chai, Pineapple Juice, Lime Juice","Combine Brandy, Masala Chai, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Dried Chilli.",Dried Chilli,Martini Glass,Sidecar (Noida)
Cool Punch 7568,Signature,"Tequila, Aam Panna, Ginger Ale, Lime Juice","Combine Tequila, Aam Panna, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Cobbler & Crew (Noida)
Golden Punch 7569,Tropical,"Whisky, Filter Kaapi, Sugar Syrup, Lime Juice","Combine Whisky, Filter Kaapi, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,Jamming Goat (Chennai)
Desi Smash 7570,South Inspired,"Vodka, Jaggery, Cranberry Juice, Lime Juice","Combine Vodka, Jaggery, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Muro (Gurgaon)
Ruby Collins 7571,Savory & Bold,"Brandy, Kokum, Ginger Ale, Lime Juice","Combine Brandy, Kokum, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Room Two (Chennai)
Temple Tonic 7572,Himalayan Flavors,"Rum, Saffron, Ginger Ale, Lime Juice","Combine Rum, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Native (Bangalore)
Midnight Mule 7573,Savory & Bold,"Rum, Betel Leaf, Coconut Water, Lime Juice","Combine Rum, Betel Leaf, and Coconut Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Ping’s (Goa)
Emerald Smash 7574,Himalayan Flavors,"Vodka, Filter Kaapi, Cranberry Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,PCO (Gurgaon)
Cool Mule 7575,The Icons,"Brandy, Curry Leaves, Tonic Water, Lime Juice","Combine Brandy, Curry Leaves, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Sorano (Gurgaon)
Desi Mule 7576,Himalayan Flavors,"Vodka, Filter Kaapi, Tonic Water, Lime Juice","Combine Vodka, Filter Kaapi, and Tonic Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,KooX (Goa)
Jungle Fizz 7577,Tropical,"Mezcal, Rose Syrup, Ginger Ale, Lime Juice","Combine Mezcal, Rose Syrup, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Nutcase Etc (Gurgaon)
Ruby Mule 7578,Signature,"Whisky, Rose Syrup, Tonic Water, Lime Juice","Combine Whisky, Rose Syrup, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,Jamming Goat (Pune)
Desi Sour 7579,Savory & Bold,"Tequila, Himalayan Honey, Ginger Ale, Lime Juice","Combine Tequila, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,AM PM (Mumbai)
Sunrise Punch 7580,Himalayan Flavors,"Brandy, Tamarind, Orange Juice, Lime Juice","Combine Brandy, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Bar Tesouro (Noida)
Masala Tonic 7581,Savory & Bold,"Vodka, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Vodka, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Conversation Room (Noida)
Sunrise Tonic 7582,The Icons,"Brandy, Tamarind, Ginger Ale, Lime Juice","Combine Brandy, Tamarind, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,RÜ (Kolkata)
Urban Punch 7583,Savory & Bold,"Rum, Aam Panna, Soda, Lime Juice","Combine Rum, Aam Panna, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,The Bombay Canteen (Hyderabad)
Cool Mojito 7584,Tropical,"Vodka, Jaggery, Lime Juice, Lime Juice","Combine Vodka, Jaggery, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Native (Goa)
Silver Martini 7585,Himalayan Flavors,"Vodka, Indian Lime Pickle, Ginger Ale, Lime Juice","Combine Vodka, Indian Lime Pickle, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Little Bit Sober (Noida)
Ruby Smash 7586,Himalayan Flavors,"Mezcal, Jaljeera, Orange Juice, Lime Juice","Combine Mezcal, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Lair (Pune)
Sunset Sling 7587,The Icons,"Tequila, Jaljeera, Sugar Syrup, Lime Juice","Combine Tequila, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Izumi (Goa)
Spicy Martini 7588,Twisted Classics,"Rum, Masala Chai, Lime Juice, Lime Juice","Combine Rum, Masala Chai, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Lair (Delhi)
Jungle Collins 7589,The Icons,"Mezcal, Ginger, Tonic Water, Lime Juice","Combine Mezcal, Ginger, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Pandan Club (Chennai)
Ruby Smash 7590,The Icons,"Tequila, Jaljeera, Coconut Water, Lime Juice","Combine Tequila, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Roxie (Kolkata)
Masala Martini 7591,Tropical,"Whisky, Tamarind, Lime Juice, Lime Juice","Combine Whisky, Tamarind, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,PCO (Pune)
Urban Collins 7592,The Icons,"Vodka, Filter Kaapi, Tonic Water, Lime Juice","Combine Vodka, Filter Kaapi, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Whisky Samba (Hyderabad)
Sunrise Mule 7593,The Icons,"Whisky, Cumin, Pineapple Juice, Lime Juice","Combine Whisky, Cumin, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Sidecar (Chennai)
Sunset Martini 7594,Savory & Bold,"Gin, Kokum, Soda, Lime Juice","Combine Gin, Kokum, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Native (Gurgaon)
Monsoon Sling 7595,Twisted Classics,"Whisky, Aam Panna, Pineapple Juice, Lime Juice","Combine Whisky, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Grumps (Gurgaon)
Urban Tonic 7596,Twisted Classics,"Whisky, Jaljeera, Orange Juice, Lime Juice","Combine Whisky, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Hideaway (Delhi)
Cool Punch 7597,Twisted Classics,"Gin, Filter Kaapi, Coconut Water, Lime Juice","Combine Gin, Filter Kaapi, and Coconut Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Roxie (Goa)
Coastal Smash 7598,Twisted Classics,"Whisky, Curry Leaves, Orange Juice, Lime Juice","Combine Whisky, Curry Leaves, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,AM PM (Hyderabad)
Rustic Sling 7599,Savory & Bold,"Gin, Masala Chai, Coconut Water, Lime Juice","Combine Gin, Masala Chai, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,The Glass Onion (Delhi)
Rustic Sour 7600,Tropical,"Mezcal, Ginger, Cranberry Juice, Lime Juice","Combine Mezcal, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Curry Leaf.",Curry Leaf,Tiki Glass,Hideaway (Hyderabad)
Golden Mule 7601,Savory & Bold,"Mezcal, Ginger, Orange Juice, Lime Juice","Combine Mezcal, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,Hoots (Gurgaon)
Sunset Sour 7602,Himalayan Flavors,"Vodka, Ginger, Soda, Lime Juice","Combine Vodka, Ginger, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,ZLB 23 (Gurgaon)
Emerald Collins 7603,Signature,"Tequila, Betel Leaf, Lime Juice, Lime Juice","Combine Tequila, Betel Leaf, and Lime Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Malaka Spice (Bangalore)
Desi Mojito 7604,Signature,"Whisky, Rose Syrup, Coconut Water, Lime Juice","Combine Whisky, Rose Syrup, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Pandan Club (Hyderabad)
Temple Mojito 7605,Signature,"Gin, Betel Leaf, Pineapple Juice, Lime Juice","Combine Gin, Betel Leaf, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Jamming Goat (Bangalore)
Sunrise Punch 7606,Himalayan Flavors,"Whisky, Indian Lime Pickle, Soda, Lime Juice","Combine Whisky, Indian Lime Pickle, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Bar Tesouro (Noida)
Desi Mojito 7607,Tropical,"Vodka, Ginger, Lime Juice, Lime Juice","Combine Vodka, Ginger, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,KooX (Goa)
Rustic Mojito 7608,Savory & Bold,"Vodka, Black Salt, Agave Nectar, Lime Juice","Combine Vodka, Black Salt, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Lair (Delhi)
Emerald Punch 7609,South Inspired,"Whisky, Jaljeera, Agave Nectar, Lime Juice","Combine Whisky, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,PCO (Goa)
Jungle Martini 7610,The Icons,"Brandy, Jaljeera, Lime Juice, Lime Juice","Combine Brandy, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Sorano (Hyderabad)
Sunrise Smash 7611,Savory & Bold,"Tequila, Cardamom, Tonic Water, Lime Juice","Combine Tequila, Cardamom, and Tonic Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,ZLB 23 (Chennai)
Cool Mule 7612,Signature,"Vodka, Jaljeera, Lime Juice, Lime Juice","Combine Vodka, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,PCO (Kolkata)
Jungle Mojito 7613,Himalayan Flavors,"Mezcal, Black Salt, Soda, Lime Juice","Combine Mezcal, Black Salt, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Bira 91 Taproom (Pune)
Sunset Martini 7614,Himalayan Flavors,"Gin, Jaggery, Orange Juice, Lime Juice","Combine Gin, Jaggery, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,ZLB 23 (Hyderabad)
Desi Collins 7615,Savory & Bold,"Brandy, Himalayan Honey, Agave Nectar, Lime Juice","Combine Brandy, Himalayan Honey, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Lair (Noida)
Midnight Collins 7616,Tropical,"Vodka, Jaggery, Orange Juice, Lime Juice","Combine Vodka, Jaggery, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Masque (Goa)
Monsoon Tonic 7617,South Inspired,"Whisky, Jaljeera, Soda, Lime Juice","Combine Whisky, Jaljeera, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Slow Tide (Goa)
Monsoon Smash 7618,Himalayan Flavors,"Vodka, Ginger, Coconut Water, Lime Juice","Combine Vodka, Ginger, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,The Bombay Canteen (Kolkata)
Desi Sling 7619,Himalayan Flavors,"Vodka, Tamarind, Orange Juice, Lime Juice","Combine Vodka, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Bar Kin-Rü (Goa)
Coastal Tonic 7620,Tropical,"Gin, Filter Kaapi, Ginger Ale, Lime Juice","Combine Gin, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Little Bit Sober (Noida)
Cool Mojito 7621,Savory & Bold,"Vodka, Filter Kaapi, Cranberry Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Room Two (Chennai)
Coastal Tonic 7622,Himalayan Flavors,"Mezcal, Himalayan Honey, Sugar Syrup, Lime Juice","Combine Mezcal, Himalayan Honey, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,Petisco (Kolkata)
Spicy Martini 7623,Tropical,"Tequila, Betel Leaf, Cranberry Juice, Lime Juice","Combine Tequila, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Sorano (Bangalore)
Masala Sling 7624,Himalayan Flavors,"Brandy, Curry Leaves, Lime Juice, Lime Juice","Combine Brandy, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Bar Kin-Rü (Goa)
Royal Punch 7625,Twisted Classics,"Brandy, Himalayan Honey, Ginger Ale, Lime Juice","Combine Brandy, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Ekaa (Hyderabad)
Golden Collins 7626,Signature,"Tequila, Filter Kaapi, Lime Juice, Lime Juice","Combine Tequila, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Joseph Bar (Mumbai)
Sunrise Sour 7627,Signature,"Gin, Black Salt, Cranberry Juice, Lime Juice","Combine Gin, Black Salt, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Dried Chilli.",Dried Chilli,Martini Glass,Izumi (Chennai)
Midnight Sour 7628,Signature,"Whisky, Masala Chai, Ginger Ale, Lime Juice","Combine Whisky, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,Petisco (Chennai)
Jungle Smash 7629,Tropical,"Rum, Cardamom, Orange Juice, Lime Juice","Combine Rum, Cardamom, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Malaka Spice (Gurgaon)
Temple Martini 7630,Signature,"Gin, Ginger, Ginger Ale, Lime Juice","Combine Gin, Ginger, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Room Two (Chennai)
Midnight Sling 7631,Tropical,"Vodka, Kokum, Orange Juice, Lime Juice","Combine Vodka, Kokum, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Pandan Club (Pune)
Temple Tonic 7632,Himalayan Flavors,"Mezcal, Aam Panna, Tonic Water, Lime Juice","Combine Mezcal, Aam Panna, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,Pandan Club (Kolkata)
Emerald Collins 7633,Himalayan Flavors,"Vodka, Cardamom, Pineapple Juice, Lime Juice","Combine Vodka, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Pandan Club (Goa)
Sunrise Smash 7634,Himalayan Flavors,"Brandy, Betel Leaf, Coconut Water, Lime Juice","Combine Brandy, Betel Leaf, and Coconut Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Bar Tesouro (Chennai)
Cool Collins 7635,South Inspired,"Mezcal, Rose Syrup, Orange Juice, Lime Juice","Combine Mezcal, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Indian Accent (Gurgaon)
Coastal Tonic 7636,Tropical,"Rum, Aam Panna, Lime Juice, Lime Juice","Combine Rum, Aam Panna, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Bar Tesouro (Noida)
Sunrise Collins 7637,South Inspired,"Rum, Jaljeera, Ginger Ale, Lime Juice","Combine Rum, Jaljeera, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Rose Petals.",Rose Petals,Martini Glass,Muro (Noida)
Sunset Fizz 7638,Tropical,"Rum, Aam Panna, Ginger Ale, Lime Juice","Combine Rum, Aam Panna, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Cinnamon Stick.",Cinnamon Stick,Copper Mug,ZLB 23 (Kolkata)
Coastal Mule 7639,The Icons,"Brandy, Betel Leaf, Coconut Water, Lime Juice","Combine Brandy, Betel Leaf, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Indian Accent (Chennai)
Emerald Tonic 7640,Savory & Bold,"Vodka, Tamarind, Lime Juice, Lime Juice","Combine Vodka, Tamarind, and Lime Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Cinnamon Stick.",Cinnamon Stick,Martini Glass,AM PM (Goa)
Sunset Fizz 7641,Twisted Classics,"Gin, Cumin, Ginger Ale, Lime Juice","Combine Gin, Cumin, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Pandan Club (Hyderabad)
Cool Sour 7642,Himalayan Flavors,"Gin, Masala Chai, Ginger Ale, Lime Juice","Combine Gin, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Room Two (Hyderabad)
Spicy Sling 7643,Tropical,"Mezcal, Masala Chai, Tonic Water, Lime Juice","Combine Mezcal, Masala Chai, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,The Glass Onion (Gurgaon)
Urban Sling 7644,Tropical,"Rum, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Rum, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Malaka Spice (Delhi)
Sunrise Mule 7645,Tropical,"Vodka, Masala Chai, Orange Juice, Lime Juice","Combine Vodka, Masala Chai, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Pineapple Wedge.",Pineapple Wedge,Highball,Pandan Club (Delhi)
Silver Sour 7646,Savory & Bold,"Rum, Cardamom, Lime Juice, Lime Juice","Combine Rum, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Izumi (Pune)
Rustic Sour 7647,Savory & Bold,"Rum, Black Salt, Lime Juice, Lime Juice","Combine Rum, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Elephant & Co (Kolkata)
Monsoon Martini 7648,Savory & Bold,"Brandy, Jaljeera, Sugar Syrup, Lime Juice","Combine Brandy, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Jamming Goat (Goa)
Royal Martini 7649,Himalayan Flavors,"Tequila, Tamarind, Tonic Water, Lime Juice","Combine Tequila, Tamarind, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,AM PM (Hyderabad)
Golden Sour 7650,Tropical,"Vodka, Kokum, Soda, Lime Juice","Combine Vodka, Kokum, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,KooX (Gurgaon)
Temple Fizz 7651,Tropical,"Mezcal, Black Salt, Cranberry Juice, Lime Juice","Combine Mezcal, Black Salt, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Rose Petals.",Rose Petals,Coupe,Grumps (Chennai)
Monsoon Sling 7652,Tropical,"Gin, Kokum, Cranberry Juice, Lime Juice","Combine Gin, Kokum, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Indian Accent (Hyderabad)
Sunset Tonic 7653,South Inspired,"Vodka, Rose Syrup, Cranberry Juice, Lime Juice","Combine Vodka, Rose Syrup, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,The Library Bar (Hyderabad)
Cool Fizz 7654,Signature,"Brandy, Masala Chai, Soda, Lime Juice","Combine Brandy, Masala Chai, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,The Bombay Canteen (Pune)
Royal Mule 7655,Signature,"Vodka, Rose Syrup, Lime Juice, Lime Juice","Combine Vodka, Rose Syrup, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Hideaway (Kolkata)
Royal Fizz 7656,Signature,"Whisky, Filter Kaapi, Tonic Water, Lime Juice","Combine Whisky, Filter Kaapi, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Little Bit Sober (Pune)
Desi Sour 7657,Himalayan Flavors,"Tequila, Cumin, Pineapple Juice, Lime Juice","Combine Tequila, Cumin, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Cinnamon Stick.",Cinnamon Stick,Martini Glass,Petisco (Mumbai)
Temple Tonic 7658,South Inspired,"Mezcal, Cardamom, Sugar Syrup, Lime Juice","Combine Mezcal, Cardamom, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Petisco (Goa)
Sunrise Sour 7659,Twisted Classics,"Gin, Jaljeera, Soda, Lime Juice","Combine Gin, Jaljeera, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Social (Bangalore)
Jungle Sour 7660,South Inspired,"Whisky, Jaggery, Sugar Syrup, Lime Juice","Combine Whisky, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Little Bit Sober (Gurgaon)
Sunrise Smash 7661,Signature,"Whisky, Filter Kaapi, Tonic Water, Lime Juice","Combine Whisky, Filter Kaapi, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Cock & Bull (Goa)
Urban Sour 7662,Tropical,"Rum, Curry Leaves, Pineapple Juice, Lime Juice","Combine Rum, Curry Leaves, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Petisco (Pune)
